Nome Empresa;Ticker;SETOR_ATIV;DT_REFER;1;2;3;4;5;6;7;8;9;10;11;12;12 Cluster;34 Cluster;56 Cluster;78 Cluster;910 Cluster;1112 Cluster
BRQ SOLUCOES EM INFORMATICA S.A.;BRQB;Comunicação e Informática;2022-09-30;172412;174368,0;174368,0;46035,0;172412;368617;172412;-368617;172412;-118992;172412;232188;1,0;0,0;2,0;2,0;2,0;2,0
LOCAWEB SERVIÇOS DE INTERNET S.A.;LWSA;Comunicação e Informática;2022-09-30;2959841;93364,0;93364,0;4425,0;2959841;3763469;2959841;-3763469;2959841;-278676;2959841;1373182;2,0;0,0;1,0;1,0;1,0;1,0
POSITIVO TECNOLOGIA S.A.;POSI;Comunicação e Informática;2022-09-30;1326577;964045,0;964045,0;361363,0;1326577;3941134;1326577;-3941134;1326577;-1787461;1326577;3003231;0,0;2,0;0,0;0,0;0,0;0,0
SINQIA S.A.;SQIA;Comunicação e Informática;2022-09-30;783626;74186,0;74186,0;46915,0;783626;1224967;783626;-1224967;783626;-155517;783626;159940;1,0;0,0;2,0;2,0;2,0;2,0
TOTVS S.A.;TOTS;Comunicação e Informática;2022-09-30;4441635;618589,0;618589,0;483214,0;4441635;7079575;4441635;-7079575;4441635;-491585;4441635;2700263;2,0;2,0;1,0;1,0;1,0;1,0
MÉLIUZ S.A.;CASH;Comunicação e Informática;2022-09-30;776485;64411,0;64411,0;0,0;776485;948172;776485;-948172;776485;-57472;776485;458278;1,0;0,0;2,0;2,0;2,0;2,0
FLEX GESTÃO DE RELACIONAMENTOS S.A.;FLEX;Comunicação e Informática;2022-09-30;0;91102,0;91102,0;1010,0;0;301828;0;-301828;0;-408174;0;163555;0,0;0,0;0,0;0,0;0,0;0,0
BAUMER S.A.;BALM;Metalurgia e Siderurgia;2022-09-30;135059;34717,0;34717,0;65151,0;135059;216208;135059;-216208;135059;-45258;135059;137194;1,0;1,0;2,0;2,0;2,0;1,0
CIA FERRO LIGAS DA BAHIA - FERBASA;FESA;Metalurgia e Siderurgia;2022-09-30;3040727;736081,0;736081,0;1016707,0;3040727;3606451;3040727;-3606451;3040727;-367587;3040727;1579803;1,0;1,0;2,0;2,0;2,0;1,0
CIA SIDERURGICA NACIONAL;CSNA;Metalurgia e Siderurgia;2022-09-30;21112515;6474363,0;6474363,0;9697708,0;21112515;61135432;21112515;-61135432;21112515;-14366065;21112515;14516561;1,0;2,0;2,0;2,0;2,0;1,0
ELECTRO ACO ALTONA S.A.;EALT;Metalurgia e Siderurgia;2022-09-30;204685;122719,0;122719,0;90564,0;204685;518024;204685;-518024;204685;-210627;204685;192752;1,0;1,0;2,0;2,0;2,0;1,0
GERDAU S.A.;GGBR;Metalurgia e Siderurgia;2022-09-30;49188157;1909684,0;1909684,0;17862532,0;49188157;58493796;49188157;-58493796;49188157;-3277883;49188157;2942627;2,0;2,0;1,0;1,0;1,0;2,0
METISA METALURGICA TIMBOENSE S.A.;MTSA;Metalurgia e Siderurgia;2022-09-30;372455527;228709898,0;228709898,0;5659868,0;372455527;569697683;372455527;-569697683;372455527;-188127130;372455527;461135486;0,0;0,0;0,0;0,0;0,0;0,0
PANATLANTICA S.A.;PATI;Metalurgia e Siderurgia;2022-09-30;910405;234351,0;234351,0;395195,0;910405;1587507;910405;-1587507;910405;-302553;910405;802071;1,0;1,0;2,0;2,0;2,0;1,0
SCHULZ S.A.;SHUL;Metalurgia e Siderurgia;2022-09-30;1041628;468766,0;468766,0;312884,0;1041628;2136854;1041628;-2136854;1041628;-438821;1041628;1104040;1,0;1,0;2,0;2,0;2,0;1,0
SIDERURGICA J. L. ALIPERTI S.A.;APTI;Metalurgia e Siderurgia;2022-09-30;243433;4336,0;4336,0;33889,0;243433;377978;243433;-377978;243433;-4850;243433;2133;1,0;1,0;2,0;2,0;2,0;1,0
TUPY S.A.;TUPY;Metalurgia e Siderurgia;2022-09-30;3107294;1402473,0;1402473,0;759087,0;3107294;7167612;3107294;-7167612;3107294;-986378;3107294;3272148;1,0;1,0;2,0;2,0;2,0;1,0
USINAS SID DE MINAS GERAIS S.A.-USIMINAS;USIM;Metalurgia e Siderurgia;2022-09-30;24292176;7481062,0;7481062,0;8324834,0;24292176;36811895;24292176;-36811895;24292176;-4118655;24292176;15674443;1,0;2,0;2,0;2,0;2,0;1,0
HAGA S.A. INDUSTRIA E COMERCIO;HAGA;Metalurgia e Siderurgia;2022-09-30;0;4555992,0;4555992,0;0,0;0;58516702;0;-58516702;0;-28390597;0;43452995;0,0;0,0;0,0;0,0;0,0;0,0
HERCULES S.A. FABRICA DE TALHERES;HETA;Metalurgia e Siderurgia;2022-09-30;0;862,0;862,0;0,0;0;12380;0;-12380;0;-89389;0;2244;0,0;0,0;0,0;0,0;0,0;0,0
NORDON INDUSTRIAS METALURGICAS S.A.;NORD;Metalurgia e Siderurgia;2022-09-30;0;416,0;416,0;0,0;0;17397;0;-17397;0;-47478;0;1202;0,0;0,0;0,0;0,0;0,0;0,0
PARANAPANEMA S.A. - EM RECUPERAÇÃO JUDICIAL;PMAM;Metalurgia e Siderurgia;2022-09-30;0;474510,0;474510,0;0,0;0;2532979;0;-2532979;0;-1444293;0;642925;0,0;0,0;0,0;0,0;0,0;0,0
WETZEL S.A.;MWET;Metalurgia e Siderurgia;2022-09-30;0;81838,0;81838,0;0,0;0;266371;0;-266371;0;-119367;0;123476;0,0;0,0;0,0;0,0;0,0;0,0
BCO BTG PACTUAL S.A.;BPAC;Bancos;2022-09-30;42261953;342134,0;342134,0;19590061,0;42261953;368817598;42261953;-368817598;42261953;-326555645;42261953;339788148;2,0;2,0;1,0;1,0;0,0;0,0
ITAU UNIBANCO HOLDING S.A.;ITUB;Bancos;2022-09-30;158498000;8358000,0;8358000,0;71298000,0;158498000;217787000;158498000;-217787000;158498000;-18186000;158498000;29797000;1,0;1,0;0,0;0,0;2,0;2,0
BANCO BMG S/A;BMGB;Bancos;2022-09-30;3839062;0,0;0,0;426960,0;3839062;45790518;3839062;-45790518;3839062;-19863540;3839062;20528246;0,0;0,0;2,0;2,0;1,0;1,0
BCO ESTADO DE SERGIPE S.A. - BANESE;BGIP;Bancos;2022-09-30;582335;0,0;0,0;43871,0;582335;8055549;582335;-8055549;582335;-5117111;582335;4389913;0,0;0,0;2,0;2,0;1,0;1,0
