CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Quantidade_Acionistas_PF;Quantidade_Acionistas_PJ;Quantidade_Acionistas_Investidores_Institucionais;Quantidade_Acoes_Ordinarias_Circulacao;Percentual_Acoes_Ordinarias_Circulacao;Quantidade_Acoes_Preferenciais_Circulacao;Percentual_Acoes_Preferenciais_Circulacao;Quantidade_Total_Acoes_Circulacao;Percentual_Total_Acoes_Circulacao;Data_Ultima_Assembleia
08.439.659/0001-50;2022-01-01;3;125891;0;2;0;0;0.000000;0;0.000000;0;0.000000;2021-04-28
08.467.115/0001-00;2022-01-01;7;127041;376;210;0;3165016;4.648000;162927;99.337000;3327943;4.876000;2022-04-29
08.493.364/0001-62;2022-04-01;1;120344;0;5;0;1258415912;100.000000;0;0.000000;1258415912;100.000000;2022-07-29
08.534.605/0001-74;2022-01-01;15;127106;11450;65;0;20989140;37.803000;43124116;79.921000;64113256;58.562000;2022-04-29
08.560.444/0001-93;2022-01-01;5;123225;314;91;0;77829;0.100000;0;0.000000;77829;0.100000;2021-04-29
08.574.411/0001-00;2022-01-01;2;125800;0;2;0;0;0.000000;373242;100.000000;373242;10.011123;2021-04-30
08.613.550/0001-98;2022-01-01;6;125322;16616;85;61;1038543;39.110000;0;0.000000;1038543;39.110000;2022-04-29
08.764.621/0001-53;2022-01-01;2;125286;1715;4;13;1428328;74.053865;0;0.000000;1428328;74.053865;2022-04-29
08.769.451/0001-08;2022-01-01;6;124959;0;1;0;0;0.000000;0;0.000000;0;0.000000;2020-10-01
08.773.135/0001-00;2022-01-01;13;126979;21;2;0;1362579;1.200000;0;0.000000;1362579;1.200000;2023-05-08
08.773.191/0001-36;2022-01-01;2;126230;0;2;0;0;0.000000;0;0.000000;0;0.000000;2023-04-29
08.795.211/0001-70;2022-01-01;2;125665;3;1;3;0;0.000000;0;0.000000;0;0.000000;2015-04-29
08.797.760/0001-83;2022-01-01;12;125572;15002;606;130;120291325;41.213290;0;0.000000;120291325;41.213290;2022-12-20
08.801.621/0001-86;2022-01-01;8;127229;22821;183;131;58932234;38.608000;0;0.000000;58932234;38.608000;2022-04-29
08.807.432/0001-10;2022-01-01;16;126927;34861;271;638;296015511;95.770000;0;0.000000;296015511;95.770000;2022-04-28
08.810.422/0001-34;2022-01-01;3;122678;3;1;1;0;0.000000;0;0.000000;0;0.000000;2021-07-12
08.811.643/0001-27;2022-01-01;10;126121;61780;356;0;71350796;38.234000;0;0.000000;71350796;38.234000;2022-08-15
08.822.767/0001-08;2022-01-01;2;124491;0;1;0;0;100.000000;0;0.000000;0;100.000000;2021-03-24
08.827.501/0001-58;2022-01-01;10;125618;0;5;0;207858034;29.277570;273447399;88.449150;481305433;47.227820;2022-04-29
08.873.873/0001-10;2022-01-01;7;125517;0;1;0;0;0.000000;0;0.000000;0;0.000000;2023-04-18
08.902.291/0001-15;2022-01-01;17;126153;122553;1495;1489;1110550596;20.245808;0;0.000000;1110550596;20.245800;2022-04-29
08.926.302/0001-05;2022-01-01;9;123486;0;1;0;0;0.000000;0;0.000000;0;0.000000;2023-01-16
08.935.054/0001-50;2022-01-01;2;122690;0;2;1;7877740;53.512540;6843557;46.487459;14721297;100.000000;2017-11-21
08.937.002/0001-13;2022-01-01;1;116224;2;1;0;0;0.000000;0;0.000000;0;0.000000;2020-09-18
09.041.168/0001-10;2022-01-01;4;125600;16848;244;148;59529517;58.271000;0;0.000000;59529517;58.271000;2022-04-19
09.042.817/0001-05;2022-01-01;23;126974;13607;245;184;83635218;91.999000;0;0.000000;83635218;91.999000;2022-04-29
09.053.134/0001-45;2022-01-01;7;122237;21;0;5;108228244;21.635000;0;0.000000;108228244;21.635000;2022-05-27
09.054.385/0001-44;2022-01-01;1;116425;12;3;0;150424;0.108100;0;0.000000;150424;0.108100;2022-05-06
09.074.183/0001-64;2022-01-01;1;116143;0;1;0;428071225;100.000000;0;0.000000;428071225;100.000000;2018-04-27
09.095.183/0001-40;2022-01-01;3;126164;0;1;0;0;0.000000;0;0.000000;0;0.000000;2022-04-28
09.112.685/0001-32;2022-01-01;5;125656;4324;15;4;1592166;50.576454;0;0.000000;1592166;50.576454;2022-05-10
09.114.805/0001-30;2022-01-01;14;125374;10866;176;51;123217826;61.621375;0;0.000000;123217826;61.621375;2022-04-28
09.116.278/0001-01;2022-01-01;1;115849;0;1;0;14048567;77.520000;4073532;24.800000;18122099;100.000000;2013-04-29
09.146.451/0001-06;2022-01-01;5;123191;0;1;0;0;0.000000;0;0.000000;0;0.000000;2023-01-16
09.229.201/0001-30;2022-01-01;7;125291;5273;33;615;372837116;55.467000;0;0.000000;372837116;55.467000;2023-03-16
09.257.877/0001-37;2022-01-01;4;124758;0;1;0;0;0.000000;0;0.000000;0;0.000000;2019-04-30
09.267.996/0001-70;2022-01-01;4;118521;2;0;0;0;0.000000;0;0.000000;0;0.000000;2021-06-15
09.288.252/0001-32;2022-01-01;12;127061;19602;115;443;257157317;63.673479;0;0.000000;257157317;63.673479;2022-04-29
09.295.063/0001-97;2022-01-01;14;127039;15409;56;34;33441483;47.162979;0;0.000000;33441483;47.162979;2023-05-10
09.304.427/0001-58;2022-01-01;2;123000;3;0;0;900000;100.000000;0;0.000000;900000;100.000000;2022-04-29
09.305.994/0001-29;2022-01-01;17;127023;133095;714;395;306558420;32.999995;327646296;97.626264;634204716;50.151494;2022-04-28
09.313.969/0001-97;2022-01-01;5;127197;0;1;0;0;0.000000;0;0.000000;0;0.000000;2021-10-14
09.324.949/0001-11;2022-01-01;1;115923;0;1;0;0;0.000000;0;0.000000;0;0.000000;2014-04-16
09.325.109/0001-73;2022-01-01;1;116254;0;1;0;0;0.000000;0;0.000000;0;99.999999;2014-04-17
09.326.342/0001-70;2022-01-01;2;120632;0;1;0;0;0.000000;0;0.000000;0;0.000000;2016-05-05
09.336.431/0001-06;2022-01-01;2;127210;0;1;0;0;0.000000;0;0.000000;0;0.000000;2014-04-17
09.346.601/0001-25;2022-01-01;16;126917;354755;2933;1528;5733398051;98.528923;0;0.000000;5733398051;98.528923;2022-12-12
09.347.516/0001-81;2022-01-01;13;125375;1577;9;66;52669211;37.625231;0;0.000000;52669211;37.625231;2022-04-29
09.359.927/0001-97;2022-01-01;4;126218;0;1;0;0;0.000000;0;0.000000;0;0.000000;2022-12-20
09.391.823/0001-60;2022-01-01;14;126956;0;1;0;0;0.000000;0;0.000000;0;0.000000;2022-04-19
09.414.761/0001-64;2022-01-01;1;116257;0;1;0;0;0.000000;0;0.000000;0;0.000000;2018-11-23
09.527.023/0001-23;2022-01-01;3;125862;0;1;0;0;0.000000;0;0.000000;0;0.000000;2022-05-04
09.538.973/0001-53;2022-01-01;2;123716;0;2;0;0;0.000000;0;0.000000;0;0.000000;2022-04-11
09.584.854/0001-37;2022-01-01;4;120710;0;1;0;0;0.000000;0;0.000000;0;0.000000;2021-09-27
09.611.768/0001-76;2022-01-01;9;122601;5;0;0;0;0.000000;0;0.000000;0;0.000000;2020-06-09
09.625.321/0001-56;2022-01-01;4;120712;0;5;0;0;0.000000;0;0.000000;0;0.000000;2021-09-23
09.813.204/0001-16;2022-01-01;3;120307;6;2;0;0;0.000000;0;0.000000;0;0.000000;2020-09-21
10.139.870/0001-08;2022-01-01;7;125528;65857;356;54;102307839;42.867000;0;0.000000;102307839;42.867000;2022-04-27
10.215.988/0001-60;2022-01-01;7;122067;0;1;0;0;0.000000;0;0.000000;0;0.000000;2022-07-29
10.234.027/0001-00;2022-01-01;5;121230;0;2;0;0;0.000000;0;0.000000;0;0.000000;2018-05-08
