CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;ID_Capital_Social;Tipo_Capital;Data_Autorizacao_Aprovacao;Valor_Capital;Prazo_Integralizacao;Quantidade_Acoes_Ordinarias;Quantidade_Acoes_Preferenciais;Quantidade_Total_Acoes
02.016.440/0001-62;2022-01-01;5;125875;290496;Capital Emitido;2022-04-28;2842391084.46;;1125427;0;1125427
02.016.440/0001-62;2022-01-01;5;125875;290497;Capital Subscrito;2022-04-28;2842391084.46;;1125427;0;1125427
02.016.440/0001-62;2022-01-01;5;125875;290498;Capital Integralizado;2022-04-28;2842391084.46;;1125427;0;1125427
02.041.460/0001-93;2022-01-01;6;123617;284070;Capital Emitido;2022-12-15;12689598254.00;Totalmente integralizado;16380772850;0;16380772850
02.041.460/0001-93;2022-01-01;6;123617;284071;Capital Subscrito;2022-12-15;12689598254.00;;16380772850;0;16380772850
02.041.460/0001-93;2022-01-01;6;123617;284072;Capital Integralizado;2022-12-15;12689598254.00;;16380772850;0;16380772850
02.041.460/0001-93;2022-01-01;6;123617;284073;Capital Autorizado;2022-06-09;100000.00;;0;0;0
02.062.747/0001-08;2022-01-01;2;125655;289930;Capital Subscrito;2023-04-28;4509000.00;12 meses;8184478719;0;8184478719
02.062.747/0001-08;2022-01-01;2;125655;289931;Capital Subscrito;2022-04-29;4389000.00;12 meses;2967087415;0;2967087415
02.062.747/0001-08;2022-01-01;2;125655;289932;Capital Subscrito;2021-04-30;170000.00;30/04/2021;965909091;0;965909091
02.062.747/0001-08;2022-01-01;2;125655;289933;Capital Integralizado;2021-04-30;4269000.00;;1092087415;0;1092087415
02.062.747/0001-08;2022-01-01;2;125655;289934;Capital Integralizado;2019-10-31;4099000.00;;126178324;0;126178324
02.062.747/0001-08;2022-01-01;2;125655;289935;Capital Integralizado;2019-02-07;3899000.00;;106178324;0;106178324
02.105.040/0001-23;2022-01-01;1;114700;260907;Capital Emitido;2019-11-06;25385758.59;;41403;246;41649
02.105.040/0001-23;2022-01-01;1;114700;260908;Capital Subscrito;2016-08-10;68475360.00;;41403;246;41649
02.105.040/0001-23;2022-01-01;1;114700;260909;Capital Integralizado;2016-08-10;68475360.00;;41403;246;41649
02.105.040/0001-23;2022-01-01;1;114700;260910;Capital Autorizado;2012-02-15;0.00;;81347;0;81347
02.149.205/0001-69;2022-01-01;9;126960;292355;Capital Emitido;2021-10-20;8500000000.00;;646586060;0;646586060
02.149.205/0001-69;2022-01-01;9;126960;292356;Capital Subscrito;2021-10-20;8500000000.00;;646586060;0;646586060
02.149.205/0001-69;2022-01-01;9;126960;292357;Capital Integralizado;2021-10-20;8500000000.00;;646586060;0;646586060
02.149.205/0001-69;2022-01-01;9;126960;292358;Capital Autorizado;2021-10-20;0.00;;108279858;0;108279858
02.162.616/0001-94;2022-01-01;2;118339;269942;Capital Emitido;2004-03-29;49646147.70;;52437003;0;52437003
02.162.616/0001-94;2022-01-01;2;118339;269943;Capital Subscrito;2004-03-29;49646147.70;;52437003;0;52437003
02.162.616/0001-94;2022-01-01;2;118339;269944;Capital Integralizado;2004-03-29;49646147.70;;52437003;0;52437003
02.162.616/0001-94;2022-01-01;2;118339;269945;Capital Subscrito;1997-12-17;0.00;;200000000;0;200000000
02.193.750/0001-52;2022-01-01;5;127063;292692;Capital Integralizado;2022-01-11;178000000.00;;88241730;5771805;94013535
02.201.787/0001-85;2022-01-01;1;115828;263167;Capital Integralizado;1997-09-10;2609030.00;;2609000;30;2609030
02.217.319/0001-07;2022-01-01;2;124153;285423;Capital Integralizado;2022-01-04;2330000.00;;116574000;200000;116774000
02.217.319/0001-07;2022-01-01;2;124153;285424;Capital Integralizado;2020-03-05;2130000.00;;116574000;0;16574000
02.217.319/0001-07;2022-01-01;2;124153;285425;Capital Integralizado;2019-02-07;1951000.00;;98674000;0;98674000
02.217.319/0001-07;2022-01-01;2;124153;285426;Capital Integralizado;2018-02-22;1751000.00;;78674000;0;78674000
02.217.319/0001-07;2022-01-01;2;124153;285427;Capital Integralizado;2017-03-06;1621000.00;;65674000;0;65674000
02.255.187/0001-08;2022-01-01;6;125729;290064;Capital Emitido;2021-08-23;911973380.01;;362049609;0;362049609
02.255.187/0001-08;2022-01-01;6;125729;290065;Capital Subscrito;2021-08-23;911973380.01;;362049609;0;362049609
02.255.187/0001-08;2022-01-01;6;125729;290066;Capital Integralizado;2021-08-23;911973380.01;;362049609;0;362049609
02.255.187/0001-08;2022-01-01;6;125729;290067;Capital Autorizado;2021-06-17;0.00;;180000000;0;180000000
02.258.422/0001-97;2022-01-01;1;115539;262268;Capital Integralizado;2004-08-31;191422963.24;;246385991;66034745;312420736
